5000 	  7.855e-06
10000 	  1.4813e-05
15000 	  2.2105e-05
20000 	  3.3938e-05
25000 	  4.5647e-05
30000 	  4.3571e-05
35000 	  5.0524e-05
40000 	  5.762e-05
45000 	  6.6191e-05
50000 	  7.4125e-05
55000 	  7.9946e-05
60000 	  8.72e-05
65000 	  9.7853e-05
70000 	  0.000116023
75000 	  0.000110347
80000 	  0.000117925
85000 	  0.000123104
90000 	  0.000153789
95000 	  0.000165881
100000 	  0.000149033
105000 	  0.000164938
110000 	  0.000165788
115000 	  0.000171772
120000 	  0.000174023
125000 	  0.000184486
