50000 	  0.00507379
100000 	  0.00985907
150000 	  0.0150399
200000 	  0.0192911
250000 	  0.0258017
300000 	  0.0302678
350000 	  0.0359918
400000 	  0.0420974
450000 	  0.0497874
500000 	  0.0538607
550000 	  0.0599765
600000 	  0.0644207
650000 	  0.0699733
700000 	  0.0755958
750000 	  0.0806598
800000 	  0.0897942
850000 	  0.0933454
900000 	  0.0977625
950000 	  0.102721
1000000 	  0.110783
1050000 	  0.115308
1100000 	  0.121918
1150000 	  0.127592
1200000 	  0.136058
1250000 	  0.141206
