50000 	  0.00243559
100000 	  0.00532813
150000 	  0.0079174
200000 	  0.0112057
250000 	  0.0141092
300000 	  0.0169188
350000 	  0.0201969
400000 	  0.0235688
450000 	  0.0260884
500000 	  0.0292945
550000 	  0.0328711
600000 	  0.0368558
650000 	  0.0396623
700000 	  0.0420785
750000 	  0.0459312
800000 	  0.0491487
850000 	  0.0523327
900000 	  0.0561775
950000 	  0.0588771
1000000 	  0.0628896
1050000 	  0.0661846
1100000 	  0.0693547
1150000 	  0.0735047
1200000 	  0.0773954
1250000 	  0.0802944
